freq,unit,geo\TIME_PERIOD,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,HAB_P,EL42,215.02,215.02,218.57,234.99,246.97,248.04,248.93,246.44,245.73,263.42,287.17,314.18,261.22,235.96,240.92,273.47,230.43,231.82,329.84,341.3,341.64,320.03,337.94,338.94,325.47,311.06,437.13,418.39,381.13,367.62,371.22,NaN
A,HAB_P,EL43,235.16,226.76,215.23,215.45,214.07,213.14,212.42,210.94,212.42,207.83,209.55,218.04,221.54,223.49,224.91,221.38,219.47,246.96,247.54,259.69,262.8,256.43,266.89,264.89,262.8,265.44,262.26,262.53,250.78,253.3,253.48,NaN
A,HAB_P,EL51,333.18,352.78,332.26,313.83,316.14,315.98,317.48,300.01,306.29,302.28,294.99,279.2,264.08,260.18,261.09,257.72,266.19,284.5,263.96,266.43,256.95,243.2,245.49,244.88,247.82,247.51,246.27,234.11,228.77,223.49,227.87,NaN
A,HAB_P,EL52,197.24,197.03,194.82,197.53,197.18,196.27,197.32,185.87,186.84,192.62,188.57,189.29,186.3,186.8,184.21,180.14,179.36,202.61,200.79,207.28,223.6,228.57,221.85,219.59,221.33,221.83,227.08,225.02,222.83,219.73,220.96,NaN
A,HAB_P,EL53,242.73,242.73,235.46,238.61,229.19,227.24,231.58,228.6,236.29,235.25,216.03,216.73,208.44,206.02,212.93,209.25,207.63,228.6,224.38,214.98,228.41,227.63,229.39,234.84,242.51,247.46,234.63,231.42,234.98,229.61,220.54,NaN
A,HAB_P,EL54,238.35,238.35,242.86,242.69,233.68,233.84,230.61,231.41,220.41,236.5,235.33,217.39,198.87,199.82,204.22,196.06,195.95,210.67,210.53,205.1,227.0,235.0,232.06,232.06,231.89,228.72,216.41,208.75,206.02,205.05,207.53,NaN
A,HAB_P,EL61,287.46,287.46,288.26,284.61,278.0,268.25,262.28,245.6,239.23,234.39,222.08,212.55,219.37,182.81,188.72,181.61,175.53,186.03,177.66,190.72,191.64,188.52,181.11,191.79,181.8,186.9,182.97,173.56,173.65,172.8,169.02,NaN
A,HAB_P,EL62,203.87,203.87,207.82,208.67,212.58,214.83,214.83,216.42,210.61,206.55,208.24,206.55,207.39,208.46,185.67,272.19,270.74,309.83,373.39,374.07,372.02,365.36,360.19,370.0,339.22,334.76,336.38,299.5,305.14,301.0,302.49,NaN
A,HAB_P,EL63,311.99,327.59,313.94,317.74,307.46,300.82,293.15,294.47,290.03,295.0,298.9,311.25,294.86,290.94,282.17,284.37,282.9,338.6,316.06,308.76,299.72,325.64,313.94,319.45,327.92,335.99,335.11,328.04,316.36,320.41,323.65,NaN
A,HAB_P,EL64,505.42,555.96,509.12,515.25,536.12,524.99,558.19,542.93,544.52,565.57,560.44,539.77,557.63,523.5,528.98,532.53,529.49,569.63,586.46,569.05,602.99,583.38,582.16,640.51,631.77,632.49,644.99,595.08,535.51,462.07,474.16,NaN
A,HAB_P,EL65,319.14,337.91,333.01,332.63,331.86,329.76,335.15,338.91,341.93,346.89,335.74,333.59,314.77,316.85,314.25,320.38,308.51,335.54,407.12,402.56,408.28,409.44,419.61,448.09,453.75,456.64,459.37,478.41,455.72,426.72,423.14,NaN
A,HAB_P,ES,295.19,298.02,303.4,305.79,310.01,312.77,313.53,316.85,320.55,321.13,323.77,321.63,321.66,320.83,319.52,319.32,320.68,323.69,329.5,335.39,339.62,340.3,339.09,340.32,338.57,337.4,339.32,338.34,337.93,339.99,346.76,NaN
A,HAB_P,ES11,247.66,250.09,251.91,255.46,260.94,263.72,269.24,272.12,274.55,279.41,282.54,271.98,274.52,273.13,272.72,272.23,273.77,272.64,283.99,280.98,291.63,297.64,295.88,298.53,299.86,300.86,303.32,302.46,310.94,311.91,313.64,NaN
A,HAB_P,ES12,239.56,246.2,252.09,247.51,248.53,253.72,254.79,249.81,266.42,255.69,263.33,270.02,266.15,266.15,266.08,270.87,272.32,279.01,285.41,286.85,290.52,298.59,299.64,300.17,293.61,293.19,288.97,286.91,284.1,282.13,283.34,NaN
A,HAB_P,ES13,260.75,262.99,260.86,256.61,260.98,263.94,277.14,286.69,280.07,280.34,278.73,281.29,278.33,285.43,275.82,281.15,286.13,295.43,305.51,308.26,312.73,306.15,302.02,304.07,306.79,305.35,304.81,287.76,300.5,308.9,321.32,NaN
A,HAB_P,ES21,231.3,244.61,250.86,252.8,261.49,263.66,263.62,267.77,270.9,270.94,275.18,274.12,270.67,272.99,273.03,274.05,277.58,278.28,284.7,288.1,297.7,301.04,303.16,307.23,307.4,313.45,309.98,304.3,305.44,303.88,306.65,NaN
A,HAB_P,ES22,240.26,245.41,250.21,253.51,250.21,258.33,280.05,282.6,283.82,289.23,291.95,290.0,290.26,306.77,281.5,277.08,275.79,275.44,274.52,295.65,301.11,304.19,308.21,307.2,307.05,305.05,299.57,293.37,301.21,310.13,309.04,NaN
A,HAB_P,ES23,308.56,324.07,333.3,330.51,317.55,319.48,357.43,368.69,357.83,355.82,353.04,322.42,337.21,332.6,333.3,336.14,355.42,338.29,339.38,343.82,319.16,314.71,315.34,312.22,311.3,316.6,311.72,305.33,311.74,313.12,312.6,NaN
A,HAB_P,ES24,231.13,237.45,243.18,244.66,251.66,251.32,257.55,260.49,262.72,262.67,262.2,263.72,264.88,262.3,268.38,263.14,261.78,264.03,266.38,273.21,272.87,270.63,271.69,270.41,267.67,267.73,276.06,273.98,273.96,276.69,282.98,NaN
A,HAB_P,ES30,308.78,308.42,318.97,325.76,331.68,338.76,344.26,353.28,363.45,363.29,363.09,365.32,353.61,351.54,351.39,341.37,346.26,351.76,351.8,357.31,362.28,363.45,367.32,370.26,369.11,366.45,364.8,365.13,370.85,378.47,387.7,NaN
