freq,citizen,sex,age,unit,geo\TIME_PERIOD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,EU27_2020_FOR,F,Y_GE20,PC_POP,FI,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.2,0.2,0.1,0.1,0.3,0.3,0.4,0.3
A,EU27_2020_FOR,F,Y_GE20,PC_POP,FR,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2
A,EU27_2020_FOR,F,Y_GE20,PC_POP,HR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE20,PC_POP,HU,0.2,0.2,0.2,0.2,0.1,0.1,0.1,NaN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
A,EU27_2020_FOR,F,Y_GE20,PC_POP,IE,5.8,5.6,4.7,3.8,2.9,2.0,1.8,2.0,2.2,2.2,2.4,2.2,1.8,1.1,1.2,1.1,1.1
A,EU27_2020_FOR,F,Y_GE20,PC_POP,IS,NaN,NaN,NaN,1.0,0.7,0.9,0.9,0.5,NaN,NaN,NaN,0.7,1.0,1.1,1.6,1.5,1.4
A,EU27_2020_FOR,F,Y_GE20,PC_POP,IT,0.5,0.6,0.6,0.6,0.5,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1
A,EU27_2020_FOR,F,Y_GE20,PC_POP,LT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE20,PC_POP,LU,6.8,7.3,7.0,8.0,8.7,8.4,8.8,9.5,10.4,10.1,10.9,10.0,9.1,2.7,6.9,6.4,8.0
A,EU27_2020_FOR,F,Y_GE20,PC_POP,LV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE20,PC_POP,ME,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y_GE20,PC_POP,MK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
