Country,Legislature type,Salary (local),Salary ($US),GDP per capita ($US),Salary as % GDP per capita,Data confidence,Last checked,Source
:me: Montenegro,Parliament,€ 25156,29800,31216,95%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/ME/ME-LC01/parliamentary-mandate/parliamentary-mandate/)
:kn: St. Kitts and Nevis,National Assembly,EC$ 78600,29030,33403,87%,Medium,22-Nov-2024,[Media report 2024](https://www.winnmediaskn.com/resolution-to-increase-salaries-of-parliamentary-members-passed/)
:mt: Malta,House of Representatives,€ 24254,28730,62446,46%,Medium,5-Nov-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/MT/MT-LC01/parliamentary-mandate/parliamentary-mandate/)
:sn: Senegal,National Assembly,FCFA 15600000,28170,4833,583%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2021](https://data.ipu.org/parliament/SN/SN-LC01/parliamentary-mandate/parliamentary-mandate/)
:tg: Togo,National Assembly,FCFA 15600000,28170,3155,893%,Medium,24-Nov-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/TG/TG-LC01/parliamentary-mandate/parliamentary-mandate/)
:ls: Lesotho,National Assembly,M 486216,28020,2794,1003%,High,14-Oct-2024,[Act of Parliament 2023](https://archive.gazettes.africa/archive/ls/2023/ls-government-gazette-dated-2023-05-05-no-34.pdf)
:bs: Bahamas,House of Assembly,B$ 28000,28000,35555,79%,High,25-Oct-2024,[Government legislation 2017](https://laws.bahamas.gov.bs/cms/images/LEGISLATION/PRINCIPAL/1992/1992-0027/1992-0027.pdf)
:tr: Türkiye,Grand National Assembly,₺ 1152942,27920,44151,63%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/TR/TR-LC01/parliamentary-mandate/parliamentary-mandate/)
:th: Thailand,House of Representatives,฿ 854760,26970,23423,115%,Medium,24-Nov-2024,[Media report Jun 2023](https://www.thaipbs.or.th/news/content/328957)
:am: Armenia,National Assembly,Դ 9984000,26190,23055,114%,Medium,21-Oct-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/AM/AM-LC01/parliamentary-mandate/parliamentary-mandate/)
:gq: Equatorial Guinea,Chamber of Deputies,FCFA 14441700,26080,18724,139%,Medium,28-Oct-2024,[Inter-Parliamentary Union 2019](https://data.ipu.org/parliament/GQ/GQ-LC01/parliamentary-mandate/parliamentary-mandate/)
:sc: Seychelles,National Assembly,Rs 373500,25660,32694,78%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/SC/SC-LC01/parliamentary-mandate/parliamentary-mandate/)
:li: Liechtenstein,Landtag,CHF 20000,25410,187267,14%,High,4-Nov-2024,"[Liechtenstein Parliament 2024 (+300 CHF daily attendance fee & 300 CHF daily ""preparatory work"" fee)](https://www.landtag.li/organisation-en)"
:na: Namibia,National Assembly,N$ 438338,25260,12757,198%,Low,22-Nov-2024,[Namibia Parliament 2017](https://www.lac.org.na/laws/2017/6259.pdf)
