CN,ISO,Rate
1005,ES,4.0
1006,ES,4.0
1007,ES,4.0
1008,ES,4.0
110100,ES,4.0
1102,ES,4.0
12072100,ES,4.0
12072900,ES,4.0
3001,ES,4.0
30021100,ES,4.0
30021200,ES,4.0
30021300,ES,4.0
30021400,ES,4.0
30021500,ES,4.0
30021900,ES,4.0
300220,ES,4.0
300290,ES,4.0
3003,ES,4.0
3004,ES,4.0
30066000,ES,4.0
30022010,ES,4.0
4901,ES,4.0
4902,ES,4.0
49030000,ES,4.0
49040000,ES,4.0
49059100,ES,4.0
49059900,ES,4.0
8713,ES,4.0
,ES,7.0
,ES,21.0
01012910,LU,3.0
0105,LU,3.0
01061410,LU,3.0
01064100,LU,3.0
0201,LU,3.0
0202,LU,3.0
0203,LU,3.0
0204,LU,3.0
020500,LU,3.0
0206,LU,3.0
0207,LU,3.0
0208,LU,3.0
0209,LU,3.0
0210,LU,3.0
0302,LU,3.0
0303,LU,3.0
0304,LU,3.0
0305,LU,3.0
0306,LU,3.0
0307,LU,3.0
0401,LU,3.0
0402,LU,3.0
0403,LU,3.0
0404,LU,3.0
0405,LU,3.0
0406,LU,3.0
0407,LU,3.0
0408,LU,3.0
04090000,LU,3.0
0701,LU,3.0
07020000,LU,3.0
0703,LU,3.0
0704,LU,3.0
0705,LU,3.0
0706,LU,3.0
070700,LU,3.0
0708,LU,3.0
0709,LU,3.0
0710,LU,3.0
0711,LU,3.0
0712,LU,3.0
0713,LU,3.0
0714,LU,3.0
0801,LU,3.0
0802,LU,3.0
0803,LU,3.0
0804,LU,3.0
0805,LU,3.0
0806,LU,3.0
0807,LU,3.0
0808,LU,3.0
0809,LU,3.0
0810,LU,3.0
0811,LU,3.0
0812,LU,3.0
0813,LU,3.0
08140000,LU,3.0
0901,LU,3.0
0902,LU,3.0
09030000,LU,3.0
0904,LU,3.0
0905,LU,3.0
0906,LU,3.0
0907,LU,3.0
0908,LU,3.0
0909,LU,3.0
0910,LU,3.0
1001,LU,3.0
1002,LU,3.0
1003,LU,3.0
1004,LU,3.0
1005,LU,3.0
1006,LU,3.0
1007,LU,3.0
1008,LU,3.0
110100,LU,3.0
1102,LU,3.0
1103,LU,3.0
1104,LU,3.0
1107,LU,3.0
1108,LU,3.0
11090000,LU,3.0
1214,LU,3.0
1517,LU,3.0
160100,LU,3.0
1602,LU,3.0
160300,LU,3.0
