freq,unit,deg_urb,geo\TIME_PERIOD,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,PC,DEG3,BE,NaN,13.0,10.6,6.7,10.7,21.1,9.0,9.3,9.1,9.8,7.1,8.5,6.7,7.1,6.9,6.0,6.5,5.4,4.4,4.9,6.7,4.7
A,PC,DEG3,BG,NaN,NaN,NaN,15.8,20.0,11.7,7.1,6.6,8.8,17.5,17.1,15.1,16.2,23.8,20.4,22.0,18.5,16.4,13.3,18.1,14.0,9.3
A,PC,DEG3,CH,NaN,NaN,NaN,NaN,NaN,NaN,9.5,13.1,10.0,9.9,8.8,8.8,9.4,8.4,8.7,8.4,10.3,9.1,9.7,11.1,9.6,NaN
A,PC,DEG3,CY,NaN,NaN,6.6,2.1,1.5,1.8,2.3,1.5,2.2,1.2,2.2,2.3,3.0,2.1,1.4,0.6,1.9,1.4,1.3,0.5,0.7,1.1
A,PC,DEG3,CZ,NaN,NaN,8.5,9.0,9.0,12.4,7.1,8.5,7.7,6.5,8.0,7.6,5.9,5.2,5.4,4.4,3.2,3.6,2.9,4.0,6.0,6.1
A,PC,DEG3,DE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.3,13.6,13.9,13.3,12.7,12.0,12.2,11.0,10.4,12.4,6.8,8.6,10.5,11.3,10.5
A,PC,DEG3,DK,NaN,NaN,11.4,10.5,10.5,11.2,19.4,16.4,14.8,12.3,13.6,10.9,10.9,9.4,9.9,10.7,11.5,9.7,10.5,9.0,10.4,8.6
A,PC,DEG3,EA,NaN,NaN,NaN,NaN,NaN,6.0,6.3,7.2,8.2,8.7,9.0,9.1,8.4,7.8,7.1,6.4,6.9,5.7,5.9,NaN,NaN,NaN
A,PC,DEG3,EA18,NaN,NaN,7.4,7.8,6.2,6.0,6.2,7.2,8.2,8.7,9.0,9.1,8.4,7.8,7.0,6.4,7.0,5.7,NaN,NaN,NaN,NaN
A,PC,DEG3,EA19,NaN,NaN,7.4,7.8,6.4,6.0,6.2,7.2,8.2,8.6,8.9,9.1,8.4,7.8,7.1,6.4,6.9,5.7,5.9,NaN,NaN,NaN
A,PC,DEG3,EA20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.1,8.4,7.8,7.0,6.4,6.9,5.7,7.0,6.2,6.5,6.3
A,PC,DEG3,EE,NaN,NaN,6.0,5.1,3.7,3.4,3.2,4.8,5.9,5.8,5.4,6.2,5.2,3.5,3.6,2.7,3.3,3.5,3.2,4.0,6.7,7.9
A,PC,DEG3,EL,NaN,23.9,20.9,23.3,17.8,20.0,19.8,17.7,20.5,30.1,34.4,41.2,39.6,34.6,31.9,31.7,28.3,25.0,22.0,24.2,24.7,27.7
A,PC,DEG3,ES,NaN,3.7,3.2,5.5,5.2,4.6,6.5,6.2,8.1,8.0,7.9,8.7,8.6,6.8,6.9,6.0,4.6,5.1,5.3,4.7,5.6,4.9
A,PC,DEG3,EU,NaN,NaN,NaN,NaN,NaN,9.5,8.8,9.2,9.4,9.4,9.7,9.8,9.1,8.6,7.9,7.5,7.5,NaN,NaN,NaN,NaN,NaN
A,PC,DEG3,EU27_2007,NaN,NaN,10.9,10.5,9.5,9.5,8.8,9.2,9.4,9.4,9.7,9.9,9.1,8.6,7.9,7.5,7.5,NaN,NaN,NaN,NaN,NaN
A,PC,DEG3,EU27_2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7,9.0,9.6,10.0,9.9,9.1,8.5,7.7,7.1,7.0,5.8,7.0,6.6,7.0,6.3
A,PC,DEG3,EU28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.2,9.4,9.4,9.7,9.8,9.1,8.6,7.9,7.5,7.5,NaN,NaN,NaN,NaN,NaN
A,PC,DEG3,FI,NaN,3.0,2.5,2.6,3.8,4.0,4.1,3.5,3.9,4.1,3.9,3.6,2.9,3.1,2.8,2.7,2.5,2.5,2.6,3.6,3.5,3.9
A,PC,DEG3,FR,NaN,2.4,2.3,3.5,3.1,2.1,2.2,2.9,2.9,3.0,3.5,2.9,3.4,3.0,2.5,2.4,2.8,3.4,NaN,3.4,3.8,3.9
A,PC,DEG3,HR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.9,8.5,8.1,7.7,7.8,8.6,7.4,6.1,6.0,6.1,5.1,5.5,4.5,4.8,3.7
